"Municipality","secB.SSI.mean","secB.SSI.count"
"Baie-d'Urfé",1.200419e+00,2.700000e+01
"Beauharnois",1.181193e+00,1.569000e+03
"Beloeil",7.804529e-01,4.000000e+02
"Boisbriand",8.856417e-01,3.070000e+02
"Boucherville",1.136282e+00,7.880000e+02
"Brossard",8.671462e-01,1.290000e+02
"Carignan",1.145772e+00,1.650000e+02
"Chambly",1.201250e+00,1.323000e+03
"Châteauguay",1.093264e+00,3.610000e+02
"Contrecoeur",9.897457e-01,2.050000e+02
"Delson",6.538779e-01,1.100000e+01
"Dorval",1.290366e+00,1.700000e+01
"Hudson",1.224933e+00,4.090000e+02
"Kirkland",1.252790e+00,1.700000e+01
"L'Assomption",9.745526e-01,2.750000e+02
"L'Île-Perrot",1.397276e+00,1.000000e+00
"La Prairie",9.655929e-01,4.190000e+02
"Laval",1.239754e+00,1.208000e+04
"Léry",2.319659e+00,2.000000e+00
"Les Cèdres",9.390836e-01,6.000000e+00
"Longueuil",1.124120e+00,9.820000e+03
"Lorraine",7.679476e-01,1.000000e+00
"Mascouche",1.122770e+00,4.890000e+02
"McMasterville",9.317062e-01,3.000000e+00
"Mercier",9.085142e-01,2.780000e+02
"Mirabel",1.116550e+00,1.160000e+02
"Mont-Royal",9.868307e-01,2.400000e+01
"Mont-Saint-Hilaire",1.189367e+00,1.951000e+03
"Montréal",1.057129e+00,2.835200e+04
"Montréal-Est",9.948096e-01,6.500000e+01
"Notre-Dame-de-l'Île-Perrot",1.077825e+00,2.610000e+02
"Oka",1.251505e+00,3.410000e+02
"Otterburn Park",1.397276e+00,1.000000e+00
"Pointe-Calumet",7.376928e-01,6.000000e+00
"Pointe-Claire",1.394541e+00,3.300000e+01
"Repentigny",1.091880e+00,3.950000e+02
"Richelieu",1.150756e+00,1.380000e+02
"Rosemère",1.309645e+00,1.630000e+02
"Saint-Amable",6.847009e-01,8.000000e+00
"Saint-Basile-le-Grand",1.153877e+00,1.724000e+03
"Saint-Bruno-de-Montarville",1.121020e+00,2.320000e+02
"Saint-Constant",8.928596e-01,5.500000e+01
"Saint-Eustache",1.207366e+00,1.100000e+01
"Saint-Isidore",9.384467e-01,8.000000e+00
"Saint-Lambert",7.920005e-01,8.000000e+00
"Saint-Lazare",1.343344e+00,4.030000e+02
"Saint-Mathias-sur-Richelieu",1.202334e+00,1.020000e+02
"Saint-Mathieu",9.301458e-01,1.600000e+01
"Saint-Mathieu-de-Beloeil",7.724021e-01,9.820000e+02
"Saint-Philippe",1.265164e+00,5.200000e+01
"Saint-Sulpice",8.933299e-01,1.350000e+02
"Sainte-Anne-de-Bellevue",9.589550e-01,8.200000e+01
"Sainte-Catherine",1.042340e+00,2.268000e+03
"Sainte-Julie",9.377211e-01,1.500000e+01
"Senneville",9.036181e-01,1.200000e+01
"Terrebonne",1.164497e+00,1.320000e+03
"Varennes",1.387623e+00,7.700000e+02
"Vaudreuil-Dorion",8.231109e-01,9.700000e+01
"Vaudreuil-sur-le-Lac",1.770122e+00,1.000000e+00
"Verchères",8.699508e-01,3.800000e+01
"Westmount",1.376709e+00,6.140000e+02
