"Municipality","secE.SSI.mean","secE.SSI.count"
"Baie-d'Urfé",3.426751e-01,6.117000e+03
"Beaconsfield",3.616075e-01,1.827000e+03
"Beauharnois",6.189505e-01,2.555400e+04
"Beloeil",3.442275e-01,5.130000e+02
"Blainville",4.678098e-01,7.006000e+03
"Bois-des-Filion",4.180344e-01,4.670000e+02
"Boisbriand",3.994306e-01,2.815000e+03
"Boucherville",5.247052e-01,2.930500e+04
"Brossard",4.186684e-01,1.564000e+03
"Calixa-Lavallée",5.208069e-01,1.100000e+01
"Candiac",5.138281e-01,9.160000e+02
"Carignan",4.288612e-01,4.785000e+03
"Chambly",5.989067e-01,1.885500e+04
"Charlemagne",3.002003e-01,3.800000e+01
"Châteauguay",5.414757e-01,5.795700e+04
"Contrecoeur",5.875412e-01,2.443000e+03
"Côte-Saint-Luc",1.746829e-01,3.000000e+00
"Delson",3.124163e-01,2.600000e+01
"Deux-Montagnes",4.918945e-01,2.970000e+02
"Dollard-Des Ormeaux",3.708828e-01,2.400000e+03
"Dorval",4.403194e-01,6.760000e+02
"Hampstead",2.377209e-01,1.000000e+01
"Hudson",4.610206e-01,8.423000e+03
"Kirkland",3.482628e-01,1.120000e+02
"L'Assomption",4.346995e-01,1.727000e+03
"L'Île-Cadieux",4.104838e-01,6.200000e+01
"L'Île-Perrot",3.816620e-01,9.890000e+02
"La Prairie",4.196474e-01,9.042000e+03
"Laval",4.359298e-01,1.598340e+05
"Léry",4.440837e-01,1.051000e+03
"Les Cèdres",4.283366e-01,1.927000e+03
"Longueuil",4.882654e-01,2.254700e+04
"Lorraine",3.638125e-01,1.510000e+02
"Mascouche",5.245159e-01,5.405000e+03
"McMasterville",3.492455e-01,1.240000e+02
"Mercier",5.771688e-01,3.200000e+03
"Mirabel",5.515216e-01,1.035800e+04
"Mont-Royal",3.657026e-01,9.040000e+02
"Mont-Saint-Hilaire",5.478929e-01,5.837000e+03
"Montréal",4.642269e-01,2.279540e+05
"Montréal-Est",4.601991e-01,2.970000e+02
"Montréal-Ouest",3.221878e-01,3.680000e+02
"Notre-Dame-de-l'Île-Perrot",4.564918e-01,9.882000e+03
"Oka",6.205958e-01,1.713500e+04
"Otterburn Park",5.435336e-01,2.831000e+03
"Pincourt",3.269676e-01,7.333000e+03
"Pointe-Calumet",4.998798e-01,4.168000e+03
"Pointe-Claire",3.778202e-01,2.226000e+03
"Pointe-des-Cascades",4.466225e-01,1.146000e+03
"Repentigny",4.555378e-01,5.740000e+03
"Richelieu",5.049803e-01,1.387000e+03
"Rosemère",4.225675e-01,1.245600e+04
"Saint-Amable",5.208749e-01,1.860000e+02
"Saint-Basile-le-Grand",5.245064e-01,5.510000e+03
"Saint-Bruno-de-Montarville",4.455519e-01,2.957000e+03
"Saint-Constant",3.880154e-01,1.211000e+03
"Saint-Eustache",4.017627e-01,2.971000e+03
"Saint-Isidore",6.952505e-01,1.870000e+02
"Saint-Jean-Baptiste",5.049299e-01,6.440000e+02
"Saint-Joseph-du-Lac",4.421990e-01,8.220000e+02
"Saint-Lambert",3.655368e-01,1.970000e+02
"Saint-Lazare",5.188291e-01,2.501700e+04
"Saint-Mathias-sur-Richelieu",5.853095e-01,8.476000e+03
"Saint-Mathieu",4.114650e-01,5.470000e+02
"Saint-Mathieu-de-Beloeil",4.058936e-01,4.090000e+02
"Saint-Philippe",4.171841e-01,5.460000e+02
"Saint-Sulpice",4.688999e-01,4.100000e+01
"Sainte-Anne-de-Bellevue",4.410387e-01,2.889900e+04
"Sainte-Anne-des-Plaines",3.895901e-01,1.314000e+03
"Sainte-Catherine",5.874387e-01,2.060200e+04
"Sainte-Julie",3.264608e-01,1.096000e+03
"Sainte-Marthe-sur-le-Lac",4.503112e-01,5.234000e+03
"Sainte-Thérèse",3.265241e-01,4.287000e+03
"Senneville",4.479995e-01,2.899000e+03
"Terrasse-Vaudreuil",3.613957e-01,1.323000e+03
"Terrebonne",5.190279e-01,2.652100e+04
"Varennes",4.807056e-01,1.677000e+03
"Vaudreuil-Dorion",4.306718e-01,5.813000e+03
"Vaudreuil-sur-le-Lac",3.964091e-01,3.500000e+01
"Verchères",5.416579e-01,4.000000e+02
"Westmount",4.798336e-01,2.537000e+03
